titulo,autor,ano,status,busca
Georgia On My Mind (traditional),,,1,titulo
Georgia On My Mind,,,1,titulo
Get Out of Town,,,1,titulo
Getting Some Fun Out Of Life,,,1,titulo
Giant Steps,,,1,titulo
Give Me The Simple Life,,,1,titulo
Go Down Moses,,,1,titulo
God Bless the Child,Billie Holiday / Arthur Herzog Jr.,1939,1,completa
Golden Earrings,,,1,titulo
Gone with the Wind,,,0,
Good Bait,,,1,titulo
Good Morning Heartache,,,1,titulo
Goodbye,,,1,titulo
Goody Goody,,,1,titulo
Goofus,,,1,titulo
Gotta Get Some Sleep,,,1,titulo
Groove Juice Special,,,1,titulo
Groovin’ High,,,1,titulo
Hackensack,,,1,titulo
Half Nelson,,,1,titulo
Hallelujah,,,1,titulo
Harlem Nocturne,,,1,titulo
Have You Met Miss Jones?,,,0,
"Hello, Dolly",,,1,titulo
Here`s That Rainy Day,,,1,titulo
Hey Jude,,,1,titulo
Hindustan,,,1,titulo
Historia de un Amor,,,1,titulo
Hit That Jive Jack,,,1,titulo
Hit the Road Jack,,,1,titulo
Honeysuckle Rose,,,1,titulo
Hot House,,,1,titulo
How About You ?,,,0,
How Deep Is the Ocean?,,,0,
How Do You Say Auf Wiedersehen?,,,0,
How High The Moon,,,1,titulo
How Insensitive,,,1,titulo
How Little We Know,,,1,titulo
I Almost Lost My Mind,,,1,titulo
I Can’t Believe That You’re In Love With Me,,,1,titulo
I Can`t Get Started,,,1,titulo
I Can`t Give You Anything But Love,,,1,titulo
I Concentrate on You,,,1,titulo
I Could Write a Book,,,1,titulo
I Cover the Waterfront,Johnny Green / Edward Heyman,1933,1,completa
I Didn’t Know About You,,,1,titulo
I Didn’t Know What Time It Was,,,1,titulo
I Don’t Want to Set the World on Fire,,,1,titulo
I Fall in Love Too Easily,,,1,titulo
I Get a Kick Out of You,Cole Porter,1934,1,completa
I Get Along Without You Very Well,,,1,titulo
I Got it Bad and That Ain’t Good,,,1,titulo
I Got Rhythm,,,1,titulo
I Guess I’ll Hang My Tears Out to Dry,,,1,titulo
I Know That You Know,Vincent Youmans / Anne Caldwell,1926,1,completa
I Know Why (And So Do You),,,1,titulo
I left my heart in San Francisko,,,1,titulo
I Let a Song Go Out of My Heart,Duke Ellington / Irving Mills / Henry Nemo / John Redmond,1938,1,completa
I Love Paris,,,1,titulo
I Love You,Cole Porter,1944,1,completa
"I Loves You, Porgy",George Gershwin / Ira Gershwin / DuBose Heyward,1935,1,completa
I Mean You,Thelonius Monk / Coleman Hawkins,1946,1,completa
I Only Have Eyes for You,Harry Warren / Al Dubin,1934,1,completa
I Remember Clifford,Benny Golson,1957,1,completa
I Thought About You,Jimmy Van Heusen / Johnny Mercer,1939,1,completa
I Wanna Be Loved By You,,,1,titulo
I Want A Roof Over My Head,,,1,titulo
I Was Doing All Right,,,1,titulo
I Wish I Knew,,,1,titulo
I Wish You Love (Que reste-t-il de nos amours?),,,0,
I Wished on the Moon,,,1,titulo
I Won’t Dance,,,1,titulo
Ice Cream,,,1,titulo
If I Had You,,,1,titulo
If I Love Again,Ben Oakland / J. P. Murray,1933,1,completa
If I Should Lose You,,,1,titulo
If I Were a Bell,,,1,titulo
If You Nebver Come to Me ( Inútil Paisagem ),,,1,titulo
I’ll Be A Friend With Pleasure,,,1,titulo
I’ll Be Seeing You,,,1,titulo
I’ll Close My Eyes,,,1,titulo
I’ll Keep On Loving You,,,1,titulo
I’m a Fool to Want You,,,1,titulo
I’m Always Chasing Rainbows,Harry Carroll / Joseph McCarthy,1917,1,completa
I’m An Errand Boy For Rhythm,,,1,titulo
I’m An Old Cowhand,,,1,titulo
I’m Beginning To See The Light,,,1,titulo
I’m Confessin’,,,1,titulo
I’m Crazy ‘Bout My Baby,,,1,titulo
I’m Getting Sentimental Over You,George Bassman / Ned Washington,1932,1,completa
I`m Gonna Sit Right Down,,,1,titulo
I’m In The Mood For Love,Jimmy McHugh / Dorothy Fields,1935,1,completa
I’m Just A Lucky So And So,,,1,titulo
I’m Nobody’s Baby,,,1,titulo
I’m Putting All My Eggs In One Basket,,,1,titulo
Imagination,Jimmy Van Heusel / Johnny Burke,1939,0,
Impressions,,,1,titulo
In a Mellow Tone,,,1,titulo
In a Sentimental Mood,,,1,titulo
In a Shanty in Old Shanty Town,Ira Schuster / Jack Little / Joe Young,1932,1,completa
In the mood,,,1,titulo
Indiana,,,1,titulo
Infant Eyes,,,1,titulo
Interplay,,,1,titulo
Invitation,,,1,titulo
Is It True What They Say About Dixie,,,1,titulo
Is You Is or Is You Ain’t My Baby,,,1,titulo
Isn’t She Lovely,,,1,titulo
It Could Happen to You,,,1,titulo
It don`t mean a thing,,,1,titulo
It Had Better Be Tonight (Meglio stasera),,,1,titulo
It had to be you,,,1,titulo
It’s All Your Fault,,,1,titulo
It’s Impossible,Armando Manzanero / Perry Como,1968,1,completa
It’s Only A Paper Moon,,,1,titulo
It’s The Talk Of The Town,Jerry Livingston / Marty Symes / Al J. Neiburg,1933,1,completa
I`ve found a new baby,,,1,titulo
I’ve Got A Feeling I’m Falling,,,1,titulo
I’ve Got The World On A String,,,1,titulo
I`ve got you under my skin,,,1,titulo
I’ve Grown Accustomed To Her Face,Frederick Loewe / Alan Jay Lerner,1956,1,completa
Ja-da,,,1,titulo
Java Jive,,,0,
Jazz Me Blues,,,1,titulo
Je Veux (Zaz),Kerredine Soltani / Tryss,2010,1,completa
Jeepers Creepers,,,1,titulo
Jeeves & Wooster,,,1,titulo
Jersey Bounce,,,1,titulo
Jim,,,1,titulo
Jingle Bell Rock,,,1,titulo
Jingle Bells,,,1,titulo
Joy Spring,Clifford Brown / Jon Hendricks,1954,1,completa
Jumpin’ With Symphony Sid,,,1,titulo
Just a Closer Walk with Thee,Traditional,,1,completa
Just Friends,,,1,titulo
Just in Time,,,1,titulo
Just the Two of Us,,,1,titulo
Just The Way You Are,,,1,titulo
"Just You, Just Me",,,1,titulo
Key To The Highway,,,1,titulo
Killer Joe,,,1,titulo
Killing Me Softly with His Song,Charles Fox / Norman Gimbel /Lori Lieberman,1971,1,completa
Klactoveesedstene,,,1,titulo
Knock Me A Kiss,,,1,titulo
L-O-V-E,,,1,titulo
La Jouet,,,1,titulo
La Vie En Rose,,,1,titulo
Lady Be Good,,,1,titulo
Lady Bird (Miles Davis version),,,1,titulo
Lady Bird (original version),,,1,titulo
Lady Bird,,,1,titulo
Last Waltz,Les Reed / Barry Mason,1967,1,completa
Laura,,,1,titulo
Lazy River,,,1,titulo
Let It Snow,Jule Styne / Sammy Cahn,1945,1,completa
Let’s Call The Whole Thing Off,,,1,titulo
Let’s Face The Music And Dance,,,1,titulo
Let’s Fall In Love,,,1,titulo
Libertango,Astor Piazzolla,1974,1,completa
Light Blue,,,1,titulo
Like Someone in Love,,,1,titulo
Li’l Darlin’,,,1,titulo
Limbo Jazz,,,1,titulo
Limehouse Blues,,,1,titulo
Line For Lyons,Gerry Mulligan,1964,1,completa
Linger Awhile,,,1,titulo
Little B’s Poem,Bobby Hutcherson,,1,completa
Lonely Woman,,,1,titulo
Lotus Blossom (Kenny Dorham),,,1,titulo
Lotus Blossom,,,1,titulo
Love For Sale,,,1,titulo
Love Is Here to Stay,,,1,titulo
Love Is Just Around the Corner,,,1,titulo
Love me or leave me,,,1,titulo
Love Theme from The Godfather,,,1,titulo
Love Walked In,,,1,titulo
"Lover, Come Back To Me",,,1,titulo
Lover Man,,,1,titulo
Lover,Richard Rodgers / Lorenz Hart,1932,1,completa
Lullaby of birdland,,,1,titulo
