Titulo,Autor,Ano
It Had Better Be Tonight (Meglio stasera),,
It had to be you,,
It’s All Your Fault,,
It’s Impossible,Armando Manzanero / Perry Como,1968
It’s Only A Paper Moon,,
It’s The Talk Of The Town,Jerry Livingston / Marty Symes / Al J. Neiburg,1933
I`ve found a new baby,,
I’ve Got A Feeling I’m Falling,,
I’ve Got The World On A String,,
I`ve got you under my skin,,
I’ve Grown Accustomed To Her Face,Frederick Loewe / Alan Jay Lerner,1956
Ja-da,,
Java Jive,,
Jazz Me Blues,,
Je Veux (Zaz),Kerredine Soltani / Tryss,2010
Jeepers Creepers,,
Jeeves & Wooster,,
Jersey Bounce,,
Jim,,
Jingle Bell Rock,,
Jingle Bells,,
Joy Spring,Clifford Brown / Jon Hendricks,1954
Jumpin’ With Symphony Sid,,
Just a Closer Walk with Thee,Traditional,
Just Friends,,
Just in Time,,
Just the Two of Us,,
Just The Way You Are,,
"Just You, Just Me",,
Key To The Highway,,
Killer Joe,,
Killing Me Softly with His Song,Charles Fox / Norman Gimbel /Lori Lieberman,1971
Klactoveesedstene,,
Knock Me A Kiss,,
L-O-V-E,,
La Jouet,,
La Vie En Rose,,
Lady Be Good,,
Lady Bird (Miles Davis version),,
Lady Bird (original version),,
Lady Bird,,
Last Waltz,Les Reed / Barry Mason,1967
Laura,,
Lazy River,,
Let It Snow,Jule Styne / Sammy Cahn,1945
Let’s Call The Whole Thing Off,,
Let’s Face The Music And Dance,,
Let’s Fall In Love,,
Libertango,Astor Piazzolla,1974
Light Blue,,
Like Someone in Love,,
Li’l Darlin’,,
Limbo Jazz,,
Limehouse Blues,,
Line For Lyons,Gerry Mulligan,1964
Linger Awhile,,
Little B’s Poem,Bobby Hutcherson,
Lonely Woman,,
Lotus Blossom (Kenny Dorham),,
Lotus Blossom,,
Love For Sale,,
Love Is Here to Stay,,
Love Is Just Around the Corner,,
Love me or leave me,,
Love Theme from The Godfather,,
Love Walked In,,
"Lover, Come Back To Me",,
Lover Man,,
Lover,Richard Rodgers / Lorenz Hart,1932
Lullaby of birdland,,
Lullaby of Broadway,Harry Warren / Al Dubin,1935
Lulu’s Back In Town,,
Lush Life,Billy Strayhorn,1933–1936
Mack the knife,Kurt Weill / Bertolt Brecht,1928
Makin` Whoopee,Gus Khan / Walter Donaldson,1928
Mame,Jerry Herman,1955
Manhã de Carnaval,,
Margie,Con Conrad / J. Russel Robinson / Benny Davis,1920
Meditation,Antônio Carlos Jobim / Newton Mendonça,1962
